CountryName,Q1 2000,,Q2 2000,,Q3 2000,,Q4 2000,,Q1 2001,,Q2 2001,,Q3 2001,,Q4 2001,,Q1 2002,,Q2 2002,,Q3 2002,,Q4 2002,,Q1 2003,,Q2 2003,,Q3 2003,,Q4 2003,,Q1 2004,,Q2 2004,,Q3 2004,,Q4 2004,,Q1 2005,,Q2 2005,,Q3 2005,,Q4 2005,,Q1 2006,,Q2 2006,,Q3 2006,,Q4 2006,,Q1 2007,,Q2 2007,,Q3 2007,,Q4 2007,,Q1 2008,,Q2 2008,,Q3 2008,,Q4 2008,,Q1 2009,,Q2 2009,,Q3 2009,,Q4 2009,,Q1 2010,,Q2 2010,,Q3 2010,,Q4 2010,,Q1 2011,,Q2 2011,,Q3 2011,,Q4 2011,,Q1 2012,,Q2 2012,,Q3 2012,,Q4 2012,,Q1 2013,,Q2 2013,,Q3 2013,,Q4 2013,,Q1 2014,,Q2 2014,,Q3 2014,,Q4 2014,,Q1 2015,,Q2 2015,,Q3 2015,,Q4 2015,,Q1 2016,,Q2 2016,,Q3 2016,,Q4 2016,,Q1 2017,,Q2 2017,
Ecuador,2.49,,2.03,,2.45,,1.83,,-0.24,,1.06,,0.07,,1.23,,1.34,,1.41,,0.67,,0.30,,1.31,,-1.91,,2.18,,3.36,,2.55,,1.72,,1.07,,1.98,,1.22,,1.40,,0.13,,1.65,,1.06,,1.38,,1.17,,0.03,,-0.38,,0.74,,1.42,,1.36,,1.60,,1.78,,1.87,,1.68,,-1.43,,-0.42,,-0.62,,0.10,,1.00,,1.58,,1.65,,3.20,,1.10,,2.61,,1.53,,0.91,,1.61,,1.74,,0.77,,0.60,,1.01,,2.09,,1.96,,0.13,,0.47,,1.89,,0.81,,0.25,,0.39,,-1.24,,-0.19,,-1.00,,-1.71,,0.69,,0.45,,,,,,,
Estonia,-2.06,,12.30,,-3.79,,5.38,,-5.86,,10.98,,-3.03,,4.16,,-7.88,,14.37,,-1.79,,3.08,,-5.43,,10.94,,-1.22,,3.64,,-2.93,,3.93,,1.38,,3.64,,-5.01,,12.12,,0.03,,4.30,,-4.75,,10.26,,0.24,,4.90,,-4.74,,9.05,,-2.14,,3.39,,-13.82,,12.11,,-2.52,,-6.27,,-14.44,,6.08,,-5.14,,5.01,,-8.63,,11.63,,-2.18,,6.22,,-6.30,,10.50,,-1.00,,2.91,,-6.65,,10.43,,-2.43,,3.08,,-7.13,,8.11,,-1.84,,3.64,,-7.40,,9.35,,-2.35,,5.28,,-9.76,,10.22,,-2.46,,3.98,,-8.55,,8.77,,-1.36,,5.11,,-7.28,,9.99,
Finland,-6.17,,5.05,,-0.32,,7.13,,-7.89,,5.19,,-1.20,,5.61,,-8.67,,7.49,,-2.20,,6.77,,-9.94,,7.75,,-0.63,,6.35,,-8.24,,6.70,,-1.15,,8.32,,-8.71,,5.69,,-1.63,,6.37,,-5.51,,4.90,,-1.54,,6.77,,-5.61,,6.18,,-1.59,,7.37,,-8.11,,5.05,,-2.60,,3.35,,-14.03,,4.69,,-1.24,,5.16,,-7.65,,8.52,,-2.81,,7.66,,-7.25,,4.95,,-1.91,,5.40,,-7.44,,3.05,,-2.34,,4.35,,-7.76,,5.87,,-1.60,,4.31,,-8.40,,5.35,,-1.45,,4.86,,-8.79,,6.47,,-2.06,,5.67,,-7.73,,6.59,,-1.67,,5.51,,-6.06,,5.00,
France,-1.34,,0.81,,-2.16,,5.84,,-1.92,,0.49,,-2.30,,5.42,,-2.59,,1.03,,-2.20,,4.78,,-2.15,,-0.39,,-1.47,,5.64,,-1.19,,0.81,,-2.52,,5.51,,-1.98,,1.24,,-3.08,,5.30,,-1.02,,0.97,,-2.56,,5.46,,-1.41,,0.89,,-1.99,,4.81,,-2.24,,0.62,,-2.79,,2.73,,-4.37,,0.45,,-1.62,,4.85,,-2.29,,1.32,,-1.50,,4.83,,-1.58,,0.76,,-2.10,,4.25,,-2.00,,-0.23,,-1.79,,4.21,,-2.56,,1.03,,-1.56,,4.29,,-2.51,,0.53,,-0.99,,3.97,,-2.14,,0.33,,-1.28,,4.36,,-1.93,,0.74,,-2.38,,4.65,,-1.41,,0.26,
Georgia,-9.05,,7.47,,10.51,,2.25,,-14.09,,15.62,,-0.09,,2.64,,-11.26,,10.25,,7.94,,2.14,,-13.11,,16.76,,6.54,,6.82,,-19.87,,17.70,,4.17,,6.83,,-19.62,,21.91,,8.35,,3.40,,-15.32,,10.32,,10.33,,8.40,,-19.97,,20.82,,8.79,,7.57,,-22.89,,17.38,,-2.31,,14.46,,-26.09,,12.65,,4.01,,10.73,,-18.94,,16.51,,3.45,,6.39,,-17.85,,17.20,,5.34,,6.99,,-19.27,,18.71,,4.53,,2.82,,-17.07,,13.94,,4.33,,9.17,,-17.39,,11.45,,5.10,,5.13,,-16.17,,10.63,,5.50,,5.26,,-15.92,,10.13,,4.87,,5.82,,,,,
Germany,-2.13,,1.68,,1.77,,-0.27,,-0.81,,0.93,,1.68,,-0.41,,-3.29,,2.27,,2.61,,-1.57,,-3.56,,1.31,,3.11,,-1.05,,-1.69,,1.31,,2.07,,-0.72,,-3.30,,3.34,,2.09,,-1.02,,-0.12,,1.44,,3.22,,-0.01,,-0.36,,0.56,,3.12,,-1.21,,-0.34,,1.53,,1.13,,-4.08,,-5.12,,0.13,,3.57,,-0.79,,-0.28,,2.19,,3.45,,-0.97,,1.26,,-0.03,,2.93,,-2.30,,1.04,,-1.21,,2.73,,-2.61,,-0.31,,1.14,,3.03,,-2.42,,1.27,,-0.54,,3.24,,-1.88,,0.53,,-0.06,,3.27,,-1.62,,-0.07,,1.72,,1.72,,-2.01,,1.78,,-0.63,
Greece,-8.84,,3.43,,9.91,,0.05,,-6.74,,2.15,,8.99,,-1.67,,-6.53,,5.76,,6.80,,-1.87,,-4.45,,5.62,,6.04,,-0.48,,-4.13,,3.82,,6.53,,-2.84,,-6.63,,4.43,,5.64,,-1.87,,-2.37,,4.98,,3.51,,0.51,,-6.66,,8.93,,1.95,,-2.41,,-6.07,,5.69,,2.89,,-3.52,,-11.43,,9.33,,2.63,,-1.65,,-8.92,,3.61,,-0.43,,-3.67,,-10.12,,6.04,,1.68,,-7.89,,-8.28,,6.39,,3.08,,-4.81,,-9.77,,8.89,,5.67,,-6.19,,-7.03,,8.67,,6.36,,-6.87,,-7.01,,9.24,,3.27,,-3.83,,-8.61,,10.13,,5.54,,-7.12,,-6.85,,10.32,
Hungary,-12.39,,8.70,,3.41,,4.82,,-11.72,,8.88,,2.96,,4.29,,-10.72,,8.90,,3.24,,4.11,,-12.08,,9.91,,3.41,,4.41,,-11.72,,10.45,,3.25,,4.13,,-13.05,,12.11,,2.93,,4.51,,-13.26,,10.87,,3.27,,4.36,,-14.84,,9.17,,3.14,,4.25,,-13.05,,9.54,,2.41,,0.16,,-17.22,,8.52,,2.92,,3.68,,-14.01,,9.49,,3.65,,3.86,,-12.84,,8.12,,3.69,,3.78,,-14.50,,7.03,,3.61,,2.70,,-12.35,,9.06,,4.67,,3.82,,-12.10,,9.44,,3.95,,3.70,,-12.09,,8.57,,3.65,,4.55,,-14.05,,10.41,,3.04,,3.91,,-11.86,,,
Iceland,-4.53,,2.48,,8.33,,-2.23,,-5.71,,6.54,,2.71,,2.54,,-9.62,,4.99,,4.20,,-0.24,,0.15,,-3.21,,4.17,,-1.47,,6.08,,-1.25,,5.06,,0.92,,-1.21,,3.99,,5.31,,-2.65,,-0.28,,3.59,,2.78,,-1.49,,0.92,,6.79,,3.02,,1.68,,-3.68,,0.57,,0.63,,0.90,,-9.45,,2.53,,1.21,,-3.44,,-6.36,,3.53,,3.29,,0.40,,-4.13,,1.19,,5.77,,-1.16,,-2.20,,-2.85,,8.08,,-2.00,,-1.08,,1.07,,7.70,,-3.02,,-6.28,,4.75,,8.79,,-4.05,,-4.40,,7.15,,4.08,,-3.54,,-3.30,,6.64,,10.15,,-1.98,,-8.85,,,
Indonesia,,,-0.58,,4.23,,-1.27,,1.53,,1.24,,1.94,,-3.07,,3.48,,1.92,,3.25,,-3.87,,3.71,,2.04,,2.78,,-3.80,,3.18,,2.32,,2.89,,-1.35,,2.03,,2.23,,2.86,,-2.03,,2.05,,2.04,,3.77,,-1.85,,2.05,,2.69,,3.79,,-2.68,,2.41,,2.77,,3.74,,-3.57,,1.67,,2.39,,3.88,,-2.34,,2.04,,4.07,,3.86,,-2.12,,0.64,,3.86,,3.61,,-2.18,,0.80,,3.96,,3.35,,-2.25,,0.49,,4.00,,3.28,,-2.18,,0.04,,3.83,,3.27,,-2.07,,-0.17,,3.75,,3.30,,-1.70,,-0.40,,4.01,,3.13,,-1.77,,-0.34,,,
Iran,4.45,,30.44,,-10.74,,-11.43,,-1.24,,33.61,,-11.03,,-11.16,,6.90,,28.22,,-14.43,,-8.00,,8.77,,25.44,,-13.68,,-9.31,,9.49,,25.66,,-17.55,,-6.54,,6.17,,25.94,,-16.00,,-3.55,,4.66,,22.13,,-12.07,,-5.12,,7.21,,22.45,,-13.07,,-7.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,-0.16,,3.40,,3.93,,1.56,,-0.89,,2.21,,0.42,,3.28,,-0.23,,2.06,,1.43,,3.79,,-4.75,,2.43,,-0.30,,9.30,,-3.70,,3.77,,-2.08,,5.95,,-1.39,,3.31,,-1.67,,5.87,,-0.69,,0.97,,1.39,,1.75,,4.13,,-1.52,,-2.30,,4.55,,-2.79,,-2.36,,0.28,,-5.27,,0.58,,0.08,,-0.48,,-2.31,,2.48,,1.31,,2.14,,-2.88,,3.13,,1.15,,1.08,,-2.84,,-0.01,,1.91,,0.79,,-1.71,,-2.07,,2.62,,6.43,,-3.79,,2.79,,3.08,,5.05,,-1.41,,19.52,,-2.00,,9.71,,-1.47,,-3.27,,0.80,,6.85,,5.52,,-7.45,,1.36,
Israel,-0.07,,4.22,,5.03,,-2.17,,-1.04,,-1.04,,1.20,,-2.82,,0.42,,1.50,,0.66,,-0.79,,-0.14,,0.42,,3.40,,-3.38,,3.75,,0.26,,4.67,,-2.01,,0.47,,1.36,,3.37,,0.19,,1.61,,1.66,,0.47,,0.83,,1.65,,2.12,,2.24,,1.73,,-0.50,,-0.05,,2.06,,-1.21,,-0.79,,1.12,,2.09,,0.92,,0.21,,2.73,,0.69,,2.80,,-0.50,,1.14,,3.34,,0.59,,-1.55,,-0.37,,2.89,,0.88,,-1.14,,3.65,,-0.07,,2.45,,-0.90,,0.40,,1.26,,2.95,,-1.23,,-0.52,,0.82,,3.55,,-1.28,,0.06,,3.35,,2.31,,-1.95,,0.25,
