FAREID,JRNY_TYPE_ID,RTGNO,POS,REGION,ORIG,DEST,FARECLS,COMPARTMENT,FARE_CURR,PAX_TYPE,SALE_STR_DATE,SALE_END_DATE,TRAVEL_STR_DATE,TRAVEL_END_DATE,SEASON_STR_DATE,SEASON_END_DATE,DOW,MIN_STAY_UNIT,MIN_STAY_VAL,MAX_STAY_UNIT,MAX_STAY_VAL,FARE_TYPE,DEPARTURE_DATE,SNAP_DATE,CXR,BKG_TY,BKG_LY,BKG_YTD,RANK,MS_PERC,RNK_BASIS,YQ_YR_AMT_BC,Q_FUEL_AMT_BC,FAREAMT_BC,TAX_AMT_BC,Q_OTHERS_AMT_BC,TOTAL_AMT_BC,LAST_TOUCHED_DATE,INBOUND_BLACKOUT,EFFDT,ACTDISCDT,GPS_REC_STATUS,AP_UNIT,AP_VALUE,HUB,FLTRESTRICTION,RBD,YQ_YR_AMT,Q_FUEL_AMT,FAREAMT,TAX_AMT,Q_OTHERS_AMT,TOTAL_AMT,YQ_YR_AMT_EKFC,Q_FUEL_AMT_EKFC,FAREAMT_EKFC,TAX_AMT_EKFC,Q_OTHERS_AMT_EKFC,TOTAL_AMT_EKFC,CREATED_DATE,CREATED_BY,USD_TO_AED_MULT
2530106653,2,3400,US,AMERICAS,SEA,BKK,YRRZFUS1,Y,USD,ADT,2/28/17,12/31/99,2/28/17,12/31/99,2/28/17,12/31/99,,,,M,12,S,9/9/17,8/14/17,EK,55,193,0,0,1.04,,600,0,8217,101.20,0,8918.20,7/13/17,Y,2/28/17,12/31/99,,,,DXB,,Y,600,0,8217,101.20,0,8918.20,600,0,8217,101.20,0,8918.20,8/14/17,GPS,3.67303
2530106653,2,3400,US,AMERICAS,SEA,BKK,YRRZFUS1,Y,USD,ADT,2/28/17,12/31/99,2/28/17,12/31/99,2/28/17,12/31/99,,,,M,12,S,8/28/17,8/14/17,EK,55,193,0,0,1.04,,600,0,8217,101.20,0,8918.20,7/13/17,Y,2/28/17,12/31/99,,,,DXB,,Y,600,0,8217,101.20,0,8918.20,600,0,8217,101.20,0,8918.20,8/14/17,GPS,3.67303
2530058046,2,3400,US,AMERICAS,ORL,KUL,YRRZFUS1,Y,USD,ADT,2/28/17,12/31/99,2/28/17,12/31/99,2/28/17,12/31/99,,,,M,12,S,9/26/17,8/14/17,EK,45,27,0,0,40.91,,600,0,8217,94.22,0,8911.22,7/13/17,,2/28/17,12/31/99,,,,DXB,,Y,600,0,8217,94.22,0,8911.22,600,0,8217,94.22,0,8911.22,8/14/17,GPS,3.67303
2529939904,2,3400,US,AMERICAS,BOS,JKT,YRRZFUS1,Y,USD,ADT,2/28/17,12/31/99,2/28/17,12/31/99,2/28/17,12/31/99,,,,M,12,S,9/23/17,8/14/17,EK,119,149,0,0,25.7,,600,0,8217,92.87,0,8909.87,7/13/17,,2/28/17,12/31/99,,,,DXB,,Y,600,0,8217,92.87,0,8909.87,600,0,8217,92.87,0,8909.87,8/14/17,GPS,3.67303
2529957850,2,3400,US,AMERICAS,CHI,CMB,YRRZFUS1,Y,USD,ADT,2/28/17,12/31/99,2/28/17,12/31/99,2/28/17,12/31/99,,,,M,12,S,8/23/17,8/14/17,EK,101,109,0,0,14.83,,624,0,8151,127.12,0,8902.12,7/13/17,,2/28/17,12/31/99,,,,DXB,,Y,624,0,8151,127.12,0,8902.12,624,0,8151,127.12,0,8902.12,8/14/17,GPS,3.67303
2529957850,2,3400,US,AMERICAS,CHI,CMB,YRRZFUS1,Y,USD,ADT,2/28/17,12/31/99,2/28/17,12/31/99,2/28/17,12/31/99,,,,M,12,S,8/19/17,8/14/17,EK,101,109,0,0,14.83,,624,0,8151,127.12,0,8902.12,7/13/17,,2/28/17,12/31/99,,,,DXB,,Y,624,0,8151,127.12,0,8902.12,624,0,8151,127.12,0,8902.12,8/14/17,GPS,3.67303
2530114165,2,3400,US,AMERICAS,SEA,MCT,YRRZFUS1,Y,USD,ADT,2/28/17,12/31/99,2/28/17,12/31/99,2/28/17,12/31/99,,,,M,12,S,9/1/17,8/14/17,EK,18,16,0,0,40,,588,0,8201,107.29,0,8896.29,7/13/17,Y,2/28/17,12/31/99,,,,DXB,,Y,588,0,8201,107.29,0,8896.29,588,0,8201,107.29,0,8896.29,8/14/17,GPS,3.67303
2530025871,2,3400,US,AMERICAS,LAX,MAA,YRRZFUS1,Y,USD,ADT,2/28/17,12/31/99,2/28/17,12/31/99,2/28/17,12/31/99,,,,M,12,S,8/25/17,8/14/17,EK,789,976,0,0,31.36,,650,0,8129,93.18,0,8872.18,7/13/17,,2/28/17,12/31/99,,,,DXB,,Y,650,0,8129,93.18,0,8872.18,650,0,8129,93.18,0,8872.18,8/14/17,GPS,3.67303
2530114026,2,3400,US,AMERICAS,SEA,MAA,YRRZFUS1,Y,USD,ADT,2/28/17,12/31/99,2/28/17,12/31/99,2/28/17,12/31/99,,,,M,12,S,9/7/17,8/14/17,EK,1675,1794,0,0,69.42,,650,0,8129,93.18,0,8872.18,7/13/17,Y,2/28/17,12/31/99,,,,DXB,,Y,650,0,8129,93.18,0,8872.18,650,0,8129,93.18,0,8872.18,8/14/17,GPS,3.67303
2530045773,2,3400,US,AMERICAS,NYC,HKT,Y1RZFUS1,Y,USD,ADT,2/28/17,12/31/99,2/28/17,12/31/99,2/28/17,12/31/99,,,,M,12,S,8/24/17,8/14/17,EK,326,592,0,0,8.76,,600,0,8157,105.70,0,8862.70,7/13/17,,2/28/17,12/31/99,,,,DXB,,Y,600,0,8157,105.70,0,8862.70,600,0,8157,105.70,0,8862.70,8/14/17,GPS,3.67303
